example_id,word,ipa,units,token_focus,corpus_word_frequency,decision,corrected_ipa,notes
example-0034,பத்திரிக்கையாகும்,pat̪t̪iɾikkajjaːkum,p a t̪ t̪ i ɾ i k k a j j aː k u m,p,1,pending,,
example-0035,ஒத்துக்கொண்டாள்,ot̪t̪ukkoɳʈaːɭ,o t̪ t̪ u k k o ɳ ʈ aː ɭ,u,1,pending,,
example-0036,விளக்கியவரும்,ʋiɭakkijaʋaɾum,ʋ i ɭ a k k i j a ʋ a ɾ u m,ɭ,1,pending,,
example-0037,பிரசாந்துடன்,piɾat͡ʃaːn̪t̪uʈan,p i ɾ a t͡ʃ aː n̪ t̪ u ʈ a n,u,1,pending,,
example-0038,கிடக்கு,kiʈakku,k i ʈ a k k u,k,1,pending,,
example-0039,பலக்கத்திற்கு,palakkat̪t̪irku,p a l a k k a t̪ t̪ i r k u,a,1,pending,,
example-0040,செய்வார்களாம்,t͡ʃejʋaːɾkaɭaːm,t͡ʃ e j ʋ aː ɾ k a ɭ aː m,m,1,pending,,
example-0041,தலைநிமிர்ந்து,t̪alajn̪imiɾn̪t̪u,t̪ a l a j n̪ i m i ɾ n̪ t̪ u,ɾ,2,pending,,
example-0042,ஒளிபரப்பாகவுள்ள,oɭipaɾappaːkaʋuɭɭa,o ɭ i p a ɾ a p p aː k a ʋ u ɭ ɭ a,k,1,pending,,
example-0043,ஓடம்,oːʈam,oː ʈ a m,ʈ,3,pending,,
example-0044,வழங்குவோருக்கு,ʋaɻaŋkuʋoːɾukku,ʋ a ɻ a ŋ k u ʋ oː ɾ u k k u,a,1,pending,,
example-0045,தாண்டியுள்ளன,t̪aːɳʈijuɭɭana,t̪ aː ɳ ʈ i j u ɭ ɭ a n a,ʈ,1,pending,,
example-0046,புறநிலை,puran̪ilaj,p u r a n̪ i l a j,j,13,pending,,
example-0047,உப்புகள்,uppukaɭ,u p p u k a ɭ,a,2,pending,,
example-0048,பிரிவைவிட,piɾiʋajʋiʈa,p i ɾ i ʋ a j ʋ i ʈ a,j,1,pending,,
example-0049,குஜராத்திய,kud͡ʒaɾaːt̪t̪ija,k u d͡ʒ a ɾ aː t̪ t̪ i j a,i,1,pending,,
example-0050,தேர்தர்கள்,t̪eːɾt̪aɾkaɭ,t̪ eː ɾ t̪ a ɾ k a ɭ,a,1,pending,,
example-0051,இராஜபக்ஷவிடம்,iɾaːd͡ʒapakʂaʋiʈam,i ɾ aː d͡ʒ a p a k ʂ a ʋ i ʈ a m,ʈ,2,pending,,
example-0052,குருப்பு,kuɾuppu,k u ɾ u p p u,k,1,pending,,
example-0053,சீர்குலைத்து,t͡ʃiːɾkulajt̪t̪u,t͡ʃ iː ɾ k u l a j t̪ t̪ u,l,5,pending,,
example-0054,பாஜிஸ்திரேட்,paːd͡ʒist̪iɾeːʈ,p aː d͡ʒ i s t̪ i ɾ eː ʈ,aː,1,pending,,
example-0055,செஷன்,t͡ʃeʂan,t͡ʃ e ʂ a n,t͡ʃ,1,pending,,
example-0056,மேற்கூறியவற்றுள்,meːrkuːrijaʋarruɭ,m eː r k uː r i j a ʋ a r r u ɭ,uː,1,pending,,
example-0057,நின்றுதானே,n̪inrut̪aːneː,n̪ i n r u t̪ aː n eː,eː,1,pending,,
example-0058,கன்னங்கள்,kannaŋkaɭ,k a n n a ŋ k a ɭ,k,1,pending,,
example-0059,என்எச்,enet͡ʃ,e n e t͡ʃ,e,2,pending,,
example-0060,தளமான,t̪aɭamaːna,t̪ a ɭ a m aː n a,ɭ,5,pending,,
example-0061,புறவுறை,puraʋuraj,p u r a ʋ u r a j,ʋ,2,pending,,
example-0062,ஜேர்மனியர்களிடம்,d͡ʒeːɾmanijaɾkaɭiʈam,d͡ʒ eː ɾ m a n i j a ɾ k a ɭ i ʈ a m,m,1,pending,,
example-0063,வந்துவிட்டதே,ʋan̪t̪uʋiʈʈat̪eː,ʋ a n̪ t̪ u ʋ i ʈ ʈ a t̪ eː,t̪,1,pending,,
example-0064,அறிஞர்களும்,ariɲaɾkaɭum,a r i ɲ a ɾ k a ɭ u m,ɲ,1,pending,,
example-0065,மடகாஸ்கரிலிருந்து,maʈakaːskaɾiliɾun̪t̪u,m a ʈ a k aː s k a ɾ i l i ɾ u n̪ t̪ u,ʈ,1,pending,,
example-0066,அணில்,aɳil,a ɳ i l,l,3,pending,,
example-0067,சொல்பவனே,t͡ʃolpaʋaneː,t͡ʃ o l p a ʋ a n eː,o,1,pending,,
example-0068,சேவையால்,t͡ʃeːʋajjaːl,t͡ʃ eː ʋ a j j aː l,ʋ,1,pending,,
example-0069,இணையராக,iɳajjaɾaːka,i ɳ a j j a ɾ aː k a,i,1,pending,,
example-0070,சொல்லணு,t͡ʃollaɳu,t͡ʃ o l l a ɳ u,t͡ʃ,1,pending,,
example-0071,உம்ம,umma,u m m a,u,2,pending,,
example-0072,பிகார்,pikaːɾ,p i k aː ɾ,ɾ,2,pending,,
example-0073,காட்டியுள்ளன,kaːʈʈijuɭɭana,k aː ʈ ʈ i j u ɭ ɭ a n a,n,10,pending,,
example-0074,அத்துரலிய,at̪t̪uɾalija,a t̪ t̪ u ɾ a l i j a,ɾ,1,pending,,
example-0075,ஒதுங்கியிருந்தும்,ot̪uŋkijiɾun̪t̪um,o t̪ u ŋ k i j i ɾ u n̪ t̪ u m,t̪,1,pending,,
example-0076,பாம்பினங்களுக்கு,paːmpinaŋkaɭukku,p aː m p i n a ŋ k a ɭ u k k u,ŋ,1,pending,,
example-0077,அனுப்பிவிடுவார்கள்,anuppiʋiʈuʋaːɾkaɭ,a n u p p i ʋ i ʈ u ʋ aː ɾ k a ɭ,n,1,pending,,
example-0078,அனுமதிக்கின்றார்,anumat̪ikkinraːɾ,a n u m a t̪ i k k i n r aː ɾ,aː,1,pending,,
example-0079,தயாரிப்புக்களைச்,t̪ajaːɾippukkaɭajt͡ʃ,t̪ a j aː ɾ i p p u k k a ɭ a j t͡ʃ,j,1,pending,,
example-0080,தங்களில்,t̪aŋkaɭil,t̪ a ŋ k a ɭ i l,ɭ,2,pending,,
example-0081,தெளிவுபடுத்தவில்லை,t̪eɭiʋupaʈut̪t̪aʋillaj,t̪ e ɭ i ʋ u p a ʈ u t̪ t̪ a ʋ i l l a j,ɭ,1,pending,,
example-0082,மகாவீரர்க்கு,makaːʋiːɾaɾkku,m a k aː ʋ iː ɾ a ɾ k k u,ɾ,1,pending,,
example-0083,குண்டுவெடிப்புகளுக்கு,kuɳʈuʋeʈippukaɭukku,k u ɳ ʈ u ʋ e ʈ i p p u k a ɭ u k k u,ʋ,1,pending,,
example-0084,திறமைகளுடனும்,t̪iramajkaɭuʈanum,t̪ i r a m a j k a ɭ u ʈ a n u m,i,2,pending,,
example-0085,அஹ்மதிநெஜாட்டிற்கு,ahmat̪in̪ed͡ʒaːʈʈirku,a h m a t̪ i n̪ e d͡ʒ aː ʈ ʈ i r k u,r,1,pending,,
example-0086,மாராத்தான்,maːɾaːt̪t̪aːn,m aː ɾ aː t̪ t̪ aː n,ɾ,1,pending,,
example-0087,பூர்த்தியாகாமலேயே,puːɾt̪t̪ijaːkaːmaleːjeː,p uː ɾ t̪ t̪ i j aː k aː m a l eː j eː,t̪,1,pending,,
example-0088,வெப்பவிளைவு,ʋeppaʋiɭajʋu,ʋ e p p a ʋ i ɭ a j ʋ u,a,1,pending,,
example-0089,ஜனநாயகமானது,d͡ʒanan̪aːjakamaːnat̪u,d͡ʒ a n a n̪ aː j a k a m aː n a t̪ u,n,1,pending,,
example-0090,பிரான்சிற்கும்,piɾaːnt͡ʃirkum,p i ɾ aː n t͡ʃ i r k u m,t͡ʃ,3,pending,,
example-0091,நிதானமான,n̪it̪aːnamaːna,n̪ i t̪ aː n a m aː n a,m,5,pending,,
example-0092,ஆளாக்கப்பட்டிருக்கின்றனர்,aːɭaːkkappaʈʈiɾukkinranaɾ,aː ɭ aː k k a p p a ʈ ʈ i ɾ u k k i n r a n a ɾ,p,1,pending,,
example-0093,மில்ட்டன்,milʈʈan,m i l ʈ ʈ a n,m,1,pending,,
example-0094,அமெரிக்காவிற்குள்ளேயேயே,ameɾikkaːʋirkuɭɭeːjeːjeː,a m e ɾ i k k aː ʋ i r k u ɭ ɭ eː j eː j eː,r,1,pending,,
example-0095,டீம்வொர்க்,ʈiːmʋoɾk,ʈ iː m ʋ o ɾ k,ɾ,1,pending,,
example-0096,வெறித்தனமான,ʋerit̪t̪anamaːna,ʋ e r i t̪ t̪ a n a m aː n a,i,1,pending,,
example-0097,சனிபகவானிடமிருந்து,t͡ʃanipakaʋaːniʈamiɾun̪t̪u,t͡ʃ a n i p a k a ʋ aː n i ʈ a m i ɾ u n̪ t̪ u,i,1,pending,,
example-0098,பூசலிலும்,puːt͡ʃalilum,p uː t͡ʃ a l i l u m,uː,1,pending,,
example-0099,மனிதர்களுக்குக்,manit̪aɾkaɭukkuk,m a n i t̪ a ɾ k a ɭ u k k u k,t̪,1,pending,,
example-0100,மதமாக்கப்பட்டது,mat̪amaːkkappaʈʈat̪u,m a t̪ a m aː k k a p p a ʈ ʈ a t̪ u,t̪,1,pending,,
example-0101,விற்கப்பட்டு,ʋirkappaʈʈu,ʋ i r k a p p a ʈ ʈ u,k,2,pending,,
example-0102,குற்றவாளிகளாவர்,kurraʋaːɭikaɭaːʋaɾ,k u r r a ʋ aː ɭ i k a ɭ aː ʋ a ɾ,ɾ,1,pending,,
example-0103,ஏப்ரல்ஜூன்,eːpɾald͡ʒuːn,eː p ɾ a l d͡ʒ uː n,uː,1,pending,,
example-0104,படைப்புக்களில்,paʈajppukkaɭil,p a ʈ a j p p u k k a ɭ i l,ɭ,3,pending,,
example-0105,பயன்படுத்தப்பட்டுவருகின்றன,pajanpaʈut̪t̪appaʈʈuʋaɾukinrana,p a j a n p a ʈ u t̪ t̪ a p p a ʈ ʈ u ʋ a ɾ u k i n r a n a,a,1,pending,,
example-0106,துப்பாக்கிதாரிகளால்,t̪uppaːkkit̪aːɾikaɭaːl,t̪ u p p aː k k i t̪ aː ɾ i k a ɭ aː l,aː,2,pending,,
example-0107,கடலூருக்கும்,kaʈaluːɾukkum,k a ʈ a l uː ɾ u k k u m,u,2,pending,,
example-0108,விளங்குவதில்,ʋiɭaŋkuʋat̪il,ʋ i ɭ a ŋ k u ʋ a t̪ i l,t̪,1,pending,,
example-0109,வெங்கோலை,ʋeŋkoːlaj,ʋ e ŋ k oː l a j,ʋ,1,pending,,
example-0110,முன்பாயினும்,munpaːjinum,m u n p aː j i n u m,aː,1,pending,,
example-0111,தீர்தரங்கரான,t̪iːɾt̪aɾaŋkaɾaːna,t̪ iː ɾ t̪ a ɾ a ŋ k a ɾ aː n a,aː,1,pending,,
example-0112,பொருளாதரத்தையும்,poɾuɭaːt̪aɾat̪t̪ajjum,p o ɾ u ɭ aː t̪ a ɾ a t̪ t̪ a j j u m,u,1,pending,,
example-0113,சேவைப்பிரிவுகளை,t͡ʃeːʋajppiɾiʋukaɭaj,t͡ʃ eː ʋ a j p p i ɾ i ʋ u k a ɭ a j,a,1,pending,,
example-0114,வார்த்தையிடப்பட்டதிலிருந்து,ʋaːɾt̪t̪ajjiʈappaʈʈat̪iliɾun̪t̪u,ʋ aː ɾ t̪ t̪ a j j i ʈ a p p a ʈ ʈ a t̪ i l i ɾ u n̪ t̪ u,a,1,pending,,
example-0115,வானவில்லைத்,ʋaːnaʋillajt̪,ʋ aː n a ʋ i l l a j t̪,n,1,pending,,
example-0116,பயனெய்தாதவன்,pajanejt̪aːt̪aʋan,p a j a n e j t̪ aː t̪ a ʋ a n,a,1,pending,,
example-0117,பெற்றுவிடும்,perruʋiʈum,p e r r u ʋ i ʈ u m,r,3,pending,,
example-0118,டில்லிக்கு,ʈillikku,ʈ i l l i k k u,k,2,pending,,
example-0119,தலைவர்கூட,t̪alajʋaɾkuːʈa,t̪ a l a j ʋ a ɾ k uː ʈ a,a,1,pending,,
example-0120,சம்பிரதாயச்சடங்காக,t͡ʃampiɾat̪aːjat͡ʃt͡ʃaʈaŋkaːka,t͡ʃ a m p i ɾ a t̪ aː j a t͡ʃ t͡ʃ a ʈ a ŋ k aː k a,m,1,pending,,
example-0121,கூறினோம்,kuːrinoːm,k uː r i n oː m,uː,2,pending,,
example-0122,பஞ்சாபிலிருந்து,paɲt͡ʃaːpiliɾun̪t̪u,p a ɲ t͡ʃ aː p i l i ɾ u n̪ t̪ u,ɲ,1,pending,,
example-0123,பரூக்கியும்,paɾuːkkijum,p a ɾ uː k k i j u m,j,1,pending,,
example-0124,காரியத்தைக்,kaːɾijat̪t̪ajk,k aː ɾ i j a t̪ t̪ a j k,j,1,pending,,
example-0125,உத்வேகத்தை,ut̪ʋeːkat̪t̪aj,u t̪ ʋ eː k a t̪ t̪ a j,k,1,pending,,
example-0126,சன்னிகளை,t͡ʃannikaɭaj,t͡ʃ a n n i k a ɭ a j,ɭ,1,pending,,
example-0127,பாக்தாத்தால்,paːkt̪aːt̪t̪aːl,p aː k t̪ aː t̪ t̪ aː l,aː,1,pending,,
example-0128,வழியினாலாகிய,ʋaɻijinaːlaːkija,ʋ a ɻ i j i n aː l aː k i j a,a,1,pending,,
example-0129,அடுக்காக,aʈukkaːka,a ʈ u k k aː k a,a,2,pending,,
example-0130,விடுவதுபோன்று,ʋiʈuʋat̪upoːnru,ʋ i ʈ u ʋ a t̪ u p oː n r u,a,1,pending,,
example-0131,முகபாவத்துடன்,mukapaːʋat̪t̪uʈan,m u k a p aː ʋ a t̪ t̪ u ʈ a n,a,1,pending,,
example-0132,ஓலத்திலே,oːlat̪t̪ileː,oː l a t̪ t̪ i l eː,t̪,1,pending,,
example-0133,நெனக்காத,n̪enakkaːt̪a,n̪ e n a k k aː t̪ a,k,1,pending,,
example-0134,அமாகியும்,amaːkijum,a m aː k i j u m,k,1,pending,,
example-0135,தேவையாக,t̪eːʋajjaːka,t̪ eː ʋ a j j aː k a,t̪,1,pending,,
example-0136,ஈடுபட்டுள்ளார்,iːʈupaʈʈuɭɭaːɾ,iː ʈ u p a ʈ ʈ u ɭ ɭ aː ɾ,u,2,pending,,
example-0137,நாரிமன்,n̪aːɾiman,n̪ aː ɾ i m a n,a,1,pending,,
example-0138,கருதவேண்டும்,kaɾut̪aʋeːɳʈum,k a ɾ u t̪ a ʋ eː ɳ ʈ u m,ʋ,2,pending,,
example-0139,பெயர்களுக்கு,pejaɾkaɭukku,p e j a ɾ k a ɭ u k k u,j,1,pending,,
example-0140,விரும்பியதைச்,ʋiɾumpijat̪ajt͡ʃ,ʋ i ɾ u m p i j a t̪ a j t͡ʃ,t͡ʃ,1,pending,,
example-0141,பிறந்தவர்கள்,piran̪t̪aʋaɾkaɭ,p i r a n̪ t̪ a ʋ a ɾ k a ɭ,ʋ,7,pending,,
example-0142,சந்துருவும்,t͡ʃan̪t̪uɾuʋum,t͡ʃ a n̪ t̪ u ɾ u ʋ u m,u,2,pending,,
example-0143,சந்திப்பதால்,t͡ʃan̪t̪ippat̪aːl,t͡ʃ a n̪ t̪ i p p a t̪ aː l,t̪,1,pending,,
example-0144,செய்யாதபடிக்கு,t͡ʃejjaːt̪apaʈikku,t͡ʃ e j j aː t̪ a p a ʈ i k k u,j,1,pending,,
example-0145,அழித்தல்,aɻit̪t̪al,a ɻ i t̪ t̪ a l,i,8,pending,,
example-0146,மக்களுக்கான,makkaɭukkaːna,m a k k a ɭ u k k aː n a,u,5,pending,,
example-0147,கோவூர்,koːʋuːɾ,k oː ʋ uː ɾ,k,2,pending,,
example-0148,சவப்பெட்டிகளுள்,t͡ʃaʋappeʈʈikaɭuɭ,t͡ʃ a ʋ a p p e ʈ ʈ i k a ɭ u ɭ,i,1,pending,,
example-0149,துய்ப்பதிலேயே,t̪ujppat̪ileːjeː,t̪ u j p p a t̪ i l eː j eː,l,1,pending,,
example-0150,கண்டிப்பவர்களுக்கு,kaɳʈippaʋaɾkaɭukku,k a ɳ ʈ i p p a ʋ a ɾ k a ɭ u k k u,ʋ,1,pending,,
example-0151,தம்பதியினருக்குள்,t̪ampat̪ijinaɾukkuɭ,t̪ a m p a t̪ i j i n a ɾ u k k u ɭ,a,2,pending,,
example-0152,லொக்குபண்டார,lokkupaɳʈaːɾa,l o k k u p a ɳ ʈ aː ɾ a,k,1,pending,,
example-0153,அதுபற்றிச்,at̪uparrit͡ʃ,a t̪ u p a r r i t͡ʃ,u,1,pending,,
example-0154,பிரான்சிலுள்ள,piɾaːnt͡ʃiluɭɭa,p i ɾ aː n t͡ʃ i l u ɭ ɭ a,t͡ʃ,1,pending,,
example-0155,கோபத்தையளித்த,koːpat̪t̪ajjaɭit̪t̪a,k oː p a t̪ t̪ a j j a ɭ i t̪ t̪ a,t̪,1,pending,,
example-0156,கலைக்கத்,kalajkkat̪,k a l a j k k a t̪,l,1,pending,,
example-0157,முடிசூட்டப்பட்டார்,muʈit͡ʃuːʈʈappaʈʈaːɾ,m u ʈ i t͡ʃ uː ʈ ʈ a p p a ʈ ʈ aː ɾ,m,1,pending,,
example-0158,சுட்டதாகக்,t͡ʃuʈʈat̪aːkak,t͡ʃ u ʈ ʈ a t̪ aː k a k,ʈ,1,pending,,
example-0159,நீர்மையைப்,n̪iːɾmajjajp,n̪ iː ɾ m a j j a j p,p,1,pending,,
example-0160,திருவையாறு,t̪iɾuʋajjaːru,t̪ i ɾ u ʋ a j j aː r u,t̪,1,pending,,
example-0161,நீதியத்தின்,n̪iːt̪ijat̪t̪in,n̪ iː t̪ i j a t̪ t̪ i n,a,1,pending,,
example-0162,வெள்ளைச்,ʋeɭɭajt͡ʃ,ʋ e ɭ ɭ a j t͡ʃ,ɭ,1,pending,,
example-0163,கொக்கின்,kokkin,k o k k i n,i,2,pending,,
example-0164,பிரார்த்தித்துக்,piɾaːɾt̪t̪it̪t̪uk,p i ɾ aː ɾ t̪ t̪ i t̪ t̪ u k,p,1,pending,,
example-0165,உரைநடையாகவும்,uɾajn̪aʈajjaːkaʋum,u ɾ a j n̪ a ʈ a j j aː k a ʋ u m,ʈ,1,pending,,
example-0166,இனநன்மை,inan̪anmaj,i n a n̪ a n m a j,n,2,pending,,
example-0167,நிருவாகத்தின்,n̪iɾuʋaːkat̪t̪in,n̪ i ɾ u ʋ aː k a t̪ t̪ i n,t̪,2,pending,,
example-0168,பெருப்பித்துக்,peɾuppit̪t̪uk,p e ɾ u p p i t̪ t̪ u k,u,1,pending,,
example-0169,இடத்திற்க்குச்,iʈat̪t̪irkkut͡ʃ,i ʈ a t̪ t̪ i r k k u t͡ʃ,a,1,pending,,
example-0170,ஆரம்பித்திருக்கின்றனர்,aːɾampit̪t̪iɾukkinranaɾ,aː ɾ a m p i t̪ t̪ i ɾ u k k i n r a n a ɾ,n,1,pending,,
example-0171,பாடகிகளை,paːʈakikaɭaj,p aː ʈ a k i k a ɭ a j,j,1,pending,,
example-0172,நிறுவனங்களைச்,n̪iruʋanaŋkaɭajt͡ʃ,n̪ i r u ʋ a n a ŋ k a ɭ a j t͡ʃ,j,2,pending,,
example-0173,பொய்யாக்கப்பட்டுள்ளது,pojjaːkkappaʈʈuɭɭat̪u,p o j j aː k k a p p a ʈ ʈ u ɭ ɭ a t̪ u,t̪,1,pending,,
example-0174,கைப்பற்றப்பட்டதும்,kajpparrappaʈʈat̪um,k a j p p a r r a p p a ʈ ʈ a t̪ u m,p,1,pending,,
example-0175,ஒரோகிமருவிற்கு,oɾoːkimaɾuʋirku,o ɾ oː k i m a ɾ u ʋ i r k u,m,1,pending,,
example-0176,இயற்கைத்தேர்வு,ijarkajt̪t̪eːɾʋu,i j a r k a j t̪ t̪ eː ɾ ʋ u,u,1,pending,,
example-0177,டிரை,ʈiɾaj,ʈ i ɾ a j,ɾ,1,pending,,
example-0178,வேலைத்தல,ʋeːlajt̪t̪ala,ʋ eː l a j t̪ t̪ a l a,eː,1,pending,,
example-0179,காத்திருந்தும்,kaːt̪t̪iɾun̪t̪um,k aː t̪ t̪ i ɾ u n̪ t̪ u m,ɾ,1,pending,,
example-0180,விழிகள்,ʋiɻikaɭ,ʋ i ɻ i k a ɭ,ɭ,2,pending,,
example-0181,பின்மேடு,pinmeːʈu,p i n m eː ʈ u,m,1,pending,,
example-0182,ஈடுபடுத்திக்கொள்கின்றார்,iːʈupaʈut̪t̪ikkoɭkinraːɾ,iː ʈ u p a ʈ u t̪ t̪ i k k o ɭ k i n r aː ɾ,o,1,pending,,
example-0183,இச்சிலை,it͡ʃt͡ʃilaj,i t͡ʃ t͡ʃ i l a j,t͡ʃ,3,pending,,
example-0184,குற்றத்திலும்,kurrat̪t̪ilum,k u r r a t̪ t̪ i l u m,r,1,pending,,
example-0185,வேதனையின்,ʋeːt̪anajjin,ʋ eː t̪ a n a j j i n,n,2,pending,,
example-0186,பொலினீசியத்,poliniːt͡ʃijat̪,p o l i n iː t͡ʃ i j a t̪,l,1,pending,,
example-0187,மேர்க்கலுக்கு,meːɾkkalukku,m eː ɾ k k a l u k k u,ɾ,1,pending,,
example-0188,ரேமாண்ட்,ɾeːmaːɳʈ,ɾ eː m aː ɳ ʈ,aː,1,pending,,
example-0189,தானமாக,t̪aːnamaːka,t̪ aː n a m aː k a,t̪,1,pending,,
example-0190,நாராயணனும்,n̪aːɾaːjaɳanum,n̪ aː ɾ aː j a ɳ a n u m,a,1,pending,,
example-0191,வருந்தினர்,ʋaɾun̪t̪inaɾ,ʋ a ɾ u n̪ t̪ i n a ɾ,t̪,1,pending,,
example-0192,சார்க்கோசியே,t͡ʃaːɾkkoːt͡ʃijeː,t͡ʃ aː ɾ k k oː t͡ʃ i j eː,oː,1,pending,,
example-0193,பெரும்பகுதியினரது,peɾumpakut̪ijinaɾat̪u,p e ɾ u m p a k u t̪ i j i n a ɾ a t̪ u,n,1,pending,,
example-0194,தப்பார்,t̪appaːɾ,t̪ a p p aː ɾ,aː,1,pending,,
example-0195,இணைந்துக்கொள்கிறோம்,iɳajn̪t̪ukkoɭkiroːm,i ɳ a j n̪ t̪ u k k o ɭ k i r oː m,j,1,pending,,
example-0196,அறிவில்லாதவரோடு,ariʋillaːt̪aʋaɾoːʈu,a r i ʋ i l l aː t̪ a ʋ a ɾ oː ʈ u,i,1,pending,,
example-0197,மின்னாற்பகு,minnaːrpaku,m i n n aː r p a k u,p,1,pending,,
example-0198,மிகைமதிப்பீடாகும்,mikajmat̪ippiːʈaːkum,m i k a j m a t̪ i p p iː ʈ aː k u m,m,1,pending,,
example-0199,சென்னல்குடி,t͡ʃennalkuʈi,t͡ʃ e n n a l k u ʈ i,e,1,pending,,
example-0200,வழங்குவோனுக்கு,ʋaɻaŋkuʋoːnukku,ʋ a ɻ a ŋ k u ʋ oː n u k k u,oː,1,pending,,
